Bmr025-c4_0000040_0000110,yeah .,yeah .,z,z
Bmr025-c4_1677870_1679100,i mean even buttons you could do .,i mean even buttons you could do .,s^cs,s^cs
Bmr025-c4_1679680_1680040,sort of .,sort of .,s^e,s^e
Bmr025-c4_1680040_1680730,i mean as you said .,i mean as you said .,s,s
Bmr025-ca_1680190_1684090,i mean for what - what you've been describing buttons would be even more convenient than anything else .,i mean for what - what you've been describing buttons would be even more convenient than anything else .,s^cs,s^cs
Bmr025-c9_1682320_1682590,m- ==,m- ==,%-,%-
Bmr025-c9_1682830_1683210,right .,right .,s^aa,s^aa
Bmr025-ca_1684090_1684250,right ?,right ?,qy^d^g^rt,qy^d^g^rt
Bmr025-c9_1684160_1685450,that would be fine too .,that would be fine too .,s^ba,s^ba
Bmr025-ca_1684250_1684710,you have the ==,you have the ==,s.%-,s.%-
Bmr025-c4_1684490_1684690,right .,right .,s^aa,s^aa
Bmr025-c9_1685450_1688050,i mean i don't have you know grandiose ideas in mind .,i mean i don't have you know grandiose ideas in mind .,s,s
Bmr025-c9_1688050_1691880,but i'm just sort of thinking well we've - we're getting into the next year now .,but i'm just sort of thinking well we've - we're getting into the next year now .,s:s,s:s
Bmr025-c9_1691880_1694450,and we have a lot of these things worked out at - in terms of the speech .,and we have a lot of these things worked out at - in terms of the speech .,s,s
Bmr025-c9_1694450_1696530,maybe somebody will be interested in this .,maybe somebody will be interested in this .,s,s
Bmr025-c9_1696530_1696710,and ==,and ==,fh,fh
Bmr025-c0_1697150_1698350,i like this p d a idea .,i like this p_d_a idea .,s^ba,s^ba
Bmr025-c0_1698690_1698950,yeah .,yeah .,b,b
Bmr025-c1_1698960_1700680,yeah i do like the idea of having a couple buttons .,yeah i do like the idea of having a couple buttons .,s^na,s^na
Bmr025-ca_1699020_1699630,well i'm sure there would ==,well i'm sure there would ==,s.%-,s.%-
Bmr025-c9_1699200_1699620,yeah .,yeah .,b,b
Bmr025-c1_1700680_1702360,where like one - one button was uh oh .,where like one - one button was uh-oh .,s^e:s^fe,s^e:s^fe
Bmr025-c0_1700960_1701290,yeah .,yeah .,b,b
Bmr025-c1_1702740_1704340,and then another button was that's great .,and then another button was that's great .,s^e:s^ba,s^e:s^ba
Bmr025-c1_1704340_1705910,and another button that's f- ==,and another button that's f- ==,s.%-,s.%-
Bmr025-c9_1704340_1707400,or like this is my i'm supposed to do this kind of button .,or like this is my i'm supposed to do this kind of button .,s^2:s,s^2:s
Bmr025-c0_1705130_1705430,yeah .,yeah .,b,b
Bmr025-c9_1707400_1708700,like i better remember to ==,like i better remember to ==,s.%--,s.%--
Bmr025-ca_1708420_1709050,action item .,action item .,s^2,s^2
Bmr025-c9_1709180_1709620,yeah .,yeah .,s^aa,s^aa
Bmr025-c9_1709720_1710510,something like that .,something like that .,s^e,s^e
Bmr025-c9_1710510_1710720,or ==,or ==,%--,%--
Bmr025-ca_1711520_1713670,i mean i think the crosspad idea is a good one .,i mean i think the crosspad idea is a good one .,s^ba,s^ba
Bmr025-c0_1711770_1712040,and then ==,and then ==,%-,%-
Bmr025-c0_1712190_1712440,uhhuh .,uh-huh .,b,b
Bmr025-ca_1714440_1716550,it's just a question of getting people to use it .,it's just a question of getting people to use it .,s^df,s^df
Bmr025-ca_1716550_1720170,and getting the infrastructure set up in such a way that it's not a lot of extra work .,and getting the infrastructure set up in such a way that it's not a lot of extra work .,s^df,s^df
Bmr025-ca_1720690_1722670,i mean that's part of the reason why it hasn't happened .,i mean that's part of the reason why it hasn't happened .,s^df,s^df
Bmr025-ca_1722670_1726190,is that it - it's been a lot of extra work for me .,is that {it} - it's been a lot of extra work for me .,s^e,s^e
Bmr025-c9_1723560_1723920,yeah .,yeah .,b,b
Bmr025-c1_1725740_1725950,right .,right .,b,b
Bmr025-ca_1726680_1726860,and ==,and ==,fh,fh
Bmr025-c0_1726860_1727830,well and not just for you .,well and not just for you .,s^nd,s^nd
Bmr025-c9_1727850_1728100,w- ==,w- ==,%-,%-
Bmr025-c0_1728000_1733110,but it's also it has this problem of having to go from an analog to a d- - a digital record too .,but it's also it has this problem of having to go from an analog to a d- - a digital record too .,s^ng,s^ng
Bmr025-c0_1733110_1733790,doesn't it ?,doesn't it ?,qy^g^rt,qy^g^rt
Bmr025-ca_1733750_1738010,well it's digital but it's in a format that is not particularly standard .,well it's digital but it's in a format that is not particularly standard .,s^aap,s^aap
Bmr025-c0_1733790_1734020,i mean ==,i mean ==,%-,%-
Bmr025-c0_1736810_1742740,but i mean say if i- - if - if you're writing - if you're writing notes in it does - it - it can't do handwriting recognition .,but i mean say if i- - if - if you're writing - if you're writing notes in it does - it - it can't do handwriting recognition .,s,s
Bmr025-c0_1742740_1743030,right ?,right ?,qy^d^g^rt,qy^d^g^rt
Bmr025-c1_1742990_1747530,no no | but it's just - it's just storing the pixel informa- - position information .,no no | but it's just - it's just storing the pixel informa- - position information .,s^aa|s^na,s^aa|s^na
Bmr025-c0_1745930_1746270,okay .,o_k .,s^bk,s^bk
Bmr025-c1_1747530_1748080,it's all digital .,it's all digital .,s,s
Bmr025-c0_1749340_1756820,i - i guess what i'm thinking is that the p d a solution you h- - you have it already without needing to go from the pixelization to a - to a ==,i - i guess what i'm thinking is that the p_d_a solution you h- - you have it already without needing to go from the pixelization to a - to a ==,s.%--,s.%--
Bmr025-c0_1757730_1757890,i mean ==,i mean ==,%-,%-
Bmr025-c1_1757730_1757980,right .,right .,s^aa,s^aa
Bmr025-c1_1758650_1759060,you don't have to ==,you don't have to ==,s.%-,s.%-
Bmr025-c4_1758670_1760280,the transfer function is less errorful .,the transfer function is less errorful .,s^na,s^na
Bmr025-c4_1760560_1760780,yes .,yes .,s^aa,s^aa
Bmr025-c9_1760680_1761640,yeah yeah .,yeah yeah .,s^aa,s^aa
Bmr025-c1_1760860_1761010,yeah .,yeah .,s^aa,s^aa
Bmr025-c0_1761000_1761690,oh nicely put .,oh nicely put .,s^ba,s^ba
Bmr025-c1_1761880_1762630,yeah yeah .,yeah yeah .,b,b
Bmr025-c9_1762490_1767820,well it also - it's maybe realistic because people are supposed to be bringing their p d a's to the meeting eventually .,well it also - it's maybe realistic cuz people are supposed to be bringing their p_d_as to the meeting eventually .,s,s
Bmr025-c9_1767820_1768100,right ?,right ?,qy^d^g^rt,qy^d^g^rt
Bmr025-c9_1768210_1769330,that's why we have this little ==,that's why we have this little ==,s^df.%--,s^df.%--
Bmr025-c9_1769830_1772210,i don't know what - i don't want to cause more work for anyone .,i don't know what - i don't wanna cause more work for anyone .,s,s
Bmr025-c9_1772210_1775960,but i can imagine some interesting things that you could do with it .,but i can imagine some interesting things that you could do with it .,s,s
Bmr025-c9_1775960_1777570,and so if we don't have to return it ==,and so if we don't have to return it ==,s.%--,s.%--
Bmr025-c9_1777780_1779510,and we can keep it for a year ==,and we can keep it for a year ==,s.%--,s.%--
Bmr025-c9_1779660_1779970,i don't know .,i don't know .,s^no,s^no
Bmr025-ca_1780270_1782690,well | w- - we don't - we certainly don't have to return it .,well | w- - we don't - we certainly don't have to return it .,fg|s,fg|s
Bmr025-ca_1782690_1787100,as i said all - all he said is that if you're not using it could you return it if you are using it feel free to keep it .,as i said all - all he said is that if you're not using it could you return it if you are using it feel free to keep it .,s^df,s^df
Bmr025-ca_1788050_1789840,the point is that we haven't used it at all .,the point is that we haven't used it at all .,s,s
Bmr025-ca_1790100_1791270,and are we going to .,and are we going to .,s:qy,s:qy
Bmr025-c1_1791460_1792130,so we have no ==,so we have no ==,s.%--,s.%--
Bmr025-c1_1792130_1794660,but - uh by i - i would suggest you return one .,but - uh by i - i would suggest you return one .,s^co,s^co
Bmr025-ca_1795020_1795280,okay .,o_k .,s^bk,s^bk
Bmr025-c9_1795180_1795480,yeah .,yeah .,s^aa,s^aa
Bmr025-c1_1795620_1797900,because we - we you know we - we haven't used it at all .,because we - we you know we - we haven't used it at all .,s^df,s^df
Bmr025-c9_1796610_1797000,we c- ==,we c- ==,%-,%-
Bmr025-c1_1798010_1800530,we have some aspirations of using them .,we have some aspirations of using them .,s,s
Bmr025-c9_1798120_1799300,one would probably be fine .,one would probably be fine .,s^cs,s^cs
Bmr025-c9_1800310_1802000,maybe we could do like a student project .,maybe we could do like a student project .,s^cs,s^cs
Bmr025-c1_1800530_1800770,and ==,and ==,fh,fh
Bmr025-c9_1802000_1807050,you know maybe someone who wants to do this as their main like s- - project for something would be cool .,you know maybe someone who wants to do this as their main like s- - project for something would be cool .,s^ba,s^ba
Bmr025-c1_1804880_1805120,yeah .,yeah .,b,b
Bmr025-ca_1807170_1807390,yep .,yep .,b,b
Bmr025-ca_1808710_1812130,i mean if we had them out and sitting on the table people might use them a little more .,i mean if we had them out and sitting on the table people might use them a little more .,s^cs,s^cs
Bmr025-c1_1812480_1816180,maybe jeremy could sit in some meetings and press a button when there - when - when somebody laughed .,maybe jeremy could sit in some meetings and press a button when there - when - when somebody laughed .,s^cs^j,s^cs^j
Bmr025-ca_1812650_1813520,although there is a little ==,although there is a little ==,s.%-,s.%-
Bmr025-c9_1816980_1818880,well | i'm - yeah that's not a bad ==,well | i'm - yeah that's not a bad ==,fg|s.%-,fg|s.%-
Bmr025-c1_1817880_1818490,yeah yeah .,yeah yeah .,b,b
Bmr025-c1_1819140_1819430,yeah .,yeah .,b,b
Bmr025-c9_1819270_1824180,jeremy's going to be an - he's a new student starting on modeling brea- - breath and laughter actually .,jeremy's gonna be an - he's a new student starting on modeling brea- - breath and laughter actually .,s,s
Bmr025-c9_1824180_1825550,which sounds funny .,which sounds funny .,s^rt,s^rt
Bmr025-c9_1825550_1826650,but i think it should be cool .,but i think it should be cool .,s^ba^rt,s^ba^rt
Bmr025-c9_1826750_1826860,so ==,so ==,fh,fh
Bmr025-c1_1826810_1827170,yeah .,yeah .,b,b
Bmr025-ca_1826950_1827760,sounds breathy to me .,sounds breathy to me .,s^j,s^j
Bmr025-c9_1828690_1828780,okay .,o_k .,b,b
Bmr025-ca_1829030_1829490,breath and lau- ==,breath and lau- ==,s.%--,s.%--
Bmr025-c9_1829090_1829540,ha ha ha .,ha-ha-ha .,s^j,s^j
Bmr025-ca_1829490_1829950,ha ha ha ha .,ha-ha-ha-ha .,s^j^m,s^j^m
Bmr025-ca_1830950_1831520,ha ha ha ha .,ha-ha-ha-ha .,s^j^r,s^j^r
Bmr025-c1_1832360_1832910,well dear !,well dear !,s^fe,s^fe
Bmr025-ca_1833710_1834140,um ==,um ==,fg,fg
Bmr025-c1_1835210_1835400,huh .,hmm .,b,b
Bmr025-ca_1836380_1837360,that reminded me of something .,that reminded me of something .,s,s
Bmr025-ca_1837440_1837750,oh well .,oh well .,s^bd,s^bd
Bmr025-ca_1837750_1838170,too late .,too late .,s^bd,s^bd
Bmr025-ca_1838520_1839160,it slipped out .,it slipped out .,s^bd,s^bd
Bmr025-c1_1839670_1839960,okay .,o_k .,fg,fg
Bmr025-ca_1839680_1839910,oh !,oh !,fg,fg
Bmr025-c9_1839790_1840730,you're - you're going to tease me ?,you're - you're gonna tease me ?,qy^rt^t3,qy^rt^t3
Bmr025-ca_1839910_1840320,equipment .,equipment .,s,s
Bmr025-c9_1840730_1840980,okay .,o_k .,s^bk,s^bk
Bmr025-ca_1841100_1841590,ordered ==,ordered ==,%-,%-
Bmr025-ca_1841590_1842740,uh well i'm always going to do that .,uh well i'm always gonna do that .,s,s
Bmr025-ca_1842840_1847020,w- - uh | we ordered uh more wireless .,w- - uh | we ordered uh more wireless .,fh|s,fh|s
Bmr025-ca_1847120_1849190,and so they should be coming in at some point .,and so they should be coming in at some point .,s,s
Bmr025-c9_1848560_1848890,great .,great .,s^ba,s^ba
Bmr025-ca_1849640_1853050,and then at the same time i'll probably rewire the room as per jane's suggestion .,and then at the same time i'll probably rewire the room as per jane's suggestion .,s^cc,s^cc
Bmr025-ca_1853050_1859900,so that uh the first n channels are wireless - uh are the m- - the close talking - and the next n are far field .,so that uh the first n_ channels are wireless - eh are the m- - the close-talking - and the next n_ are far-field .,s^df,s^df
Bmr025-c1_1861220_1861820,you know what he means .,you know what he means .,s,s
Bmr025-c1_1861820_1862930,but isn't that funny sounding ?,but isn't that funny sounding ?,qh^rt,qh^rt
Bmr025-c1_1862930_1864550,we ordered more wireless .,we ordered more wireless .,s:s,s:s
Bmr025-c1_1864550_1865890,it's like wires are the things .,it's like wires are the things .,s,s
Bmr025-c1_1865890_1869520,so you're wiring - you're - you're - you - we're - we ordered more absence of the thing .,so you're wiring - you're - you're - you - we're - we ordered more absence of the thing .,s,s
Bmr025-c9_1871890_1875450,that's a very philosophical statement from morgan .,that's a very philosophical statement from morgan .,s^j,s^j
Bmr025-ca_1874480_1875630,wired less wired more .,wired less wired more .,s^j,s^j
Bmr025-c9_1875450_1877770,i just - it's sort of a anachronism .,i just - it's sort of a anachronism .,s,s
Bmr025-c9_1877770_1878540,i mean it's like ==,i mean it's like ==,s.%--,s.%--
Bmr025-c9_1878940_1879410,it's great .,it's great .,s,s
Bmr025-ca_1880610_1881460,should we do digits ?,should we do digits ?,qy^rt^t^tc,qy^rt^t^tc
Bmr025-c1_1880750_1881120,anyway .,anyway .,fg,fg
Bmr025-ca_1881460_1882170,do we have anything else ?,do we have anything else ?,qy^rt^t^tc,qy^rt^t^tc
Bmr025-c1_1882410_1882610,yeah .,yeah .,s^aa,s^aa
Bmr025-c0_1883610_1883700,okay .,o_k .,b,b
Bmr025-c1_1884110_1893790,i mean there's - there's all this stuff going on uh between uh andreas and - and - and dave and chuck and others with various kinds of runs .,i mean there's - there's all this stuff going on uh between uh andreas and - and - and dave and chuck and others with various kinds of runs .,s,s
Bmr025-c1_1893790_1896210,uh um | recognition runs .,uh um | recognition runs .,fh|s^e,fh|s^e
Bmr025-c1_1896210_1897920,trying to figure things out about the features .,trying to figure things out about the features .,s,s
Bmr025-c1_1897920_1899980,but it's - it's all sort of in process .,but it's - it's all sort of in process .,s,s
Bmr025-c1_1899980_1901160,so there's not much to say .,so there's not much to say .,s,s
Bmr025-c1_1901840_1902200,right now .,right now .,s^e,s^e
Bmr025-c1_1904700_1908980,uh | why don't we start with our - our esteemed guest ?,uh | why don't we start with our - our esteemed guest ?,fh|qh^cs^t,fh|qh^cs^t
Bmr025-c4_1909220_1909720,okay .,o_k .,fg,fg
Bmr025-c4_1910160_1910650,all right .,alright .,fh,fh
Bmr025-ca_1910970_1913440,so just the transcript number and then the - then the ==,so just the transcript number and then the - then the ==,s^co.%-,s^co.%-
Bmr025-c4_1911590_1911840,this is ==,this is ==,%-,%-
Bmr025-c4_1913720_1914990,yes | this is number two for me today .,yes | this is number two for me today .,s^aa|s^na,s^aa|s^na
Bmr025-c1_1915260_1917050,see all you have to do is go away to move way up in the ==,see all you have to do is go away to move way up in the ==,s.%-,s.%-
Bmr025-c4_1916260_1916560,oh .,oh .,b,b
Bmr025-c9_1916940_1918140,we could do simultaneous .,we could do simultaneous .,s^cs,s^cs
Bmr025-c9_1918900_1919570,initiate him .,initiate him .,s^df,s^df
Bmr025-c1_1920210_1921010,we - we could .,we - we could .,s^na,s^na
Bmr025-ca_1920550_1921520,should we do simultaneous ?,should we do simultaneous ?,qy^rt,qy^rt
Bmr025-c9_1921240_1925600,well | i'm just thinking are you going to try to save the data before this next group comes in ?,well | i'm just thinking are you gonna try to save the data before this next group comes in ?,fg|qy,fg|qy
Bmr025-c1_1921910_1922130,yeah .,yeah .,s^aa,s^aa
Bmr025-ca_1925960_1926140,yeah .,yeah .,s^aa,s^aa
Bmr025-ca_1926200_1926750,absolutely .,absolutely .,s^aa,s^aa
Bmr025-c9_1926830_1928730,yeah so we might want to do it simultaneous .,yeah so we might wanna do it simultaneous .,s^cs^r^rt,s^cs^r^rt
Bmr025-ca_1927990_1929010,i mean you hav- - sort of have to .,i mean you hav- - sorta have to .,s^na,s^na
Bmr025-c9_1929300_1930040,right | so ==,right | so ==,s^aa|%-,s^aa|%-
Bmr025-c1_1929760_1931910,well | okay so let's do one of those simultaneous ones .,well | o_k so let's do one of those simultaneous ones .,fg|s^co,fg|s^co
Bmr025-c9_1930540_1933020,so we might n- - we might need to do that actually .,so we might n- - we might need to do that actually .,s,s
Bmr025-ca_1931870_1932130,okay .,o_k .,b,b
Bmr025-c1_1932120_1932810,that sounds good .,that sounds good .,s^ba,s^ba
Bmr025-c4_1932970_1933130,okay .,o_k .,b,b
Bmr025-c1_1933510_1934070,everybody ready ?,everybody ready ?,qy^d^rt,qy^d^rt
Bmr025-c0_1934160_1934290,yeah .,yeah .,s^aa,s^aa
Bmr025-c1_1934980_1935300,a one .,a one .,s,s
Bmr025-c9_1935120_1937270,you have to plug your ears by the way uh eric .,you have to plug your ears by the way uh eric .,s^co,s^co
Bmr025-ca_1936690_1937360,well i have to .,well i have to .,s^na,s^na
Bmr025-c9_1937270_1937440,or ==,or ==,%-,%-
Bmr025-ca_1937360_1938440,i don't know about other people .,i don't know about other people .,s^no,s^no
Bmr025-c9_1937440_1939120,or you start laughing .,or you start laughing .,s^df,s^df
Bmr025-c4_1937490_1938370,okay all right .,o_k alright .,s^bk,s^bk
Bmr025-c3_1937640_1938370,you don't have to .,you don't have to .,s^nd,s^nd
Bmr025-c1_1939270_1939720,okay .,o_k .,fg,fg
Bmr025-c1_1940110_1942400,a one and a two and a three .,a one and a two and a three .,s,s
Bmr025-ca_1942770_1974230,DIGIT_TASK,DIGIT_TASK,,
Bmr025-c1_1943010_1977360,DIGIT_TASK,DIGIT_TASK,,
Bmr025-c3_1943160_1980520,DIGIT_TASK,DIGIT_TASK,,
Bmr025-c5_1943180_1977730,DIGIT_TASK,DIGIT_TASK,,
Bmr025-c2_1943220_1977670,DIGIT_TASK,DIGIT_TASK,,
Bmr025-c9_1943390_1973630,DIGIT_TASK,DIGIT_TASK,,
Bmr025-c0_1943590_1981390,DIGIT_TASK,DIGIT_TASK,,
Bmr025-c4_1943760_1978710,DIGIT_TASK,DIGIT_TASK,,
Bmr025-c1_1984550_1986660,okay babble take five .,o_k babble take five .,z,z
